case_id,state,category,quality,semantic_drift,latency_ms,drift_event,initial_action,action,probe,cost,expected_cost,reason,belief
case-019,DEGRADED,instruction,0.8340392478543904,0.09106001051099259,542.3816242862052,True,ACCEPT,ACCEPT,,10.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-020,DEGRADED,knowledge,0.8304682412774672,0.09196385621269769,479.9180431513176,True,ACCEPT,ACCEPT,,10.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-021,DEGRADED,math,0.598185750122843,0.5809789008885926,640.1817147086168,True,REJECT,REJECT,,0.0,0.7825071472329995,binary cost rule: expected false-reject cost < false-accept cost,"{""STABLE"": 0.0004084133142740454, ""DEGRADED"": 0.7391642842556668, ""TRANSIENT"": 0.2374965965557144, ""DISTRIBUTION_SHIFT"": 0.022930705874344832}"
case-022,DEGRADED,safety,0.6111185910830345,0.5535641567882448,500.13698672794726,True,REJECT,REJECT,,0.0,0.7825071472329995,binary cost rule: expected false-reject cost < false-accept cost,"{""STABLE"": 0.0004084133142740454, ""DEGRADED"": 0.7391642842556668, ""TRANSIENT"": 0.2374965965557144, ""DISTRIBUTION_SHIFT"": 0.022930705874344832}"
case-023,DEGRADED,code,0.5289515521787452,0.6000919985752307,755.0628134820755,True,REJECT,REJECT,,0.0,1.1132789169818833,binary cost rule: expected false-reject cost < false-accept cost,"{""STABLE"": 0.004778021102926539, ""DEGRADED"": 0.6289070276727056, ""TRANSIENT"": 0.3175393191319929, ""DISTRIBUTION_SHIFT"": 0.04877563209237507}"
case-024,DEGRADED,instruction,0.6295258436667607,0.4736914230414554,615.766955218445,True,REJECT,REJECT,,0.0,1.1132789169818833,binary cost rule: expected false-reject cost < false-accept cost,"{""STABLE"": 0.004778021102926539, ""DEGRADED"": 0.6289070276727056, ""TRANSIENT"": 0.3175393191319929, ""DISTRIBUTION_SHIFT"": 0.04877563209237507}"
case-025,DEGRADED,knowledge,0.5055078800748198,0.5651690051327887,575.9851647496693,True,REJECT,REJECT,,0.0,1.1132789169818833,binary cost rule: expected false-reject cost < false-accept cost,"{""STABLE"": 0.004778021102926539, ""DEGRADED"": 0.6289070276727056, ""TRANSIENT"": 0.3175393191319929, ""DISTRIBUTION_SHIFT"": 0.04877563209237507}"
case-026,DEGRADED,math,0.6534520724884839,0.4316954212260829,528.4166593964954,True,REJECT,REJECT,,0.0,0.7825071472329995,binary cost rule: expected false-reject cost < false-accept cost,"{""STABLE"": 0.0004084133142740454, ""DEGRADED"": 0.7391642842556668, ""TRANSIENT"": 0.2374965965557144, ""DISTRIBUTION_SHIFT"": 0.022930705874344832}"
case-027,STABLE,safety,0.6717531727239839,0.016703126115925726,410.66197328123286,False,REJECT,REJECT,,3.0,1.7640845070422535,binary cost rule: expected false-reject cost < false-accept cost,"{""STABLE"": 0.2535211267605634, ""DEGRADED"": 0.4119718309859155, ""TRANSIENT"": 0.2112676056338028, ""DISTRIBUTION_SHIFT"": 0.12323943661971828}"
case-028,STABLE,code,0.9384941412687846,0.2738367595625046,442.73238761735803,False,ACCEPT,ACCEPT,,0.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-029,STABLE,instruction,0.9046371468657609,0.3140935756842935,572.4151006377729,False,ACCEPT,ACCEPT,,0.0,1.3557001027045532,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.4724409448818898, ""DEGRADED"": 0.13557001027045532, ""TRANSIENT"": 0.1323747575031382, ""DISTRIBUTION_SHIFT"": 0.25961428734451675}"
case-030,STABLE,knowledge,0.6270235391497699,0.5021553735988237,635.7638202015715,False,REJECT,REJECT,,3.0,0.7825071472329995,binary cost rule: expected false-reject cost < false-accept cost,"{""STABLE"": 0.0004084133142740454, ""DEGRADED"": 0.7391642842556668, ""TRANSIENT"": 0.2374965965557144, ""DISTRIBUTION_SHIFT"": 0.022930705874344832}"
case-031,TRANSIENT,math,0.549213995050095,0.0,1434.345531179822,True,REJECT,REJECT,,0.0,1.7605136436597113,binary cost rule: expected false-reject cost < false-accept cost,"{""STABLE"": 0.0068485821294810055, ""DEGRADED"": 0.4131621187800963, ""TRANSIENT"": 0.5650080256821829, ""DISTRIBUTION_SHIFT"": 0.014981273408239699}"
case-032,TRANSIENT,safety,0.6831687292549325,0.18545710494947176,1081.1110985071439,True,REJECT,REJECT,,0.0,1.7605136436597113,binary cost rule: expected false-reject cost < false-accept cost,"{""STABLE"": 0.0068485821294810055, ""DEGRADED"": 0.4131621187800963, ""TRANSIENT"": 0.5650080256821829, ""DISTRIBUTION_SHIFT"": 0.014981273408239699}"
case-033,TRANSIENT,code,0.4678139709869084,0.023763559324186834,848.0056729399269,True,REJECT,REJECT,,0.0,1.2966677450663218,binary cost rule: expected false-reject cost < false-accept cost,"{""STABLE"": 0.031057910061468776, ""DEGRADED"": 0.5677774183112261, ""TRANSIENT"": 0.3558718861209964, ""DISTRIBUTION_SHIFT"": 0.04529278550630863}"
case-034,TRANSIENT,instruction,0.6103341380455443,0.16792016378057872,1256.2304611243223,True,REJECT,REJECT,,0.0,1.7605136436597113,binary cost rule: expected false-reject cost < false-accept cost,"{""STABLE"": 0.0068485821294810055, ""DEGRADED"": 0.4131621187800963, ""TRANSIENT"": 0.5650080256821829, ""DISTRIBUTION_SHIFT"": 0.014981273408239699}"
case-035,TRANSIENT,knowledge,0.600080508894112,0.07176010269228875,1080.642778311547,True,REJECT,REJECT,,0.0,1.4092900964066608,binary cost rule: expected false-reject cost < false-accept cost,"{""STABLE"": 0.0006392153631417435, ""DEGRADED"": 0.530236634531113, ""TRANSIENT"": 0.4614335902679461, ""DISTRIBUTION_SHIFT"": 0.0076905598377991}"
case-036,STABLE,math,0.9670463317309661,0.0,150.0,False,ACCEPT,ACCEPT,,0.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-037,DISTRIBUTION_SHIFT,safety,0.7622991606522751,0.3016323281120999,689.7333054443013,True,ACCEPT,ACCEPT,,10.0,1.3557001027045532,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.4724409448818898, ""DEGRADED"": 0.13557001027045532, ""TRANSIENT"": 0.1323747575031382, ""DISTRIBUTION_SHIFT"": 0.25961428734451675}"
case-038,DISTRIBUTION_SHIFT,code,0.8408989856427584,0.5733568495829799,408.4450674627646,True,ACCEPT,ACCEPT,,10.0,1.3557001027045532,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.4724409448818898, ""DEGRADED"": 0.13557001027045532, ""TRANSIENT"": 0.1323747575031382, ""DISTRIBUTION_SHIFT"": 0.25961428734451675}"
case-039,DISTRIBUTION_SHIFT,instruction,0.7195744465230688,0.35926533475508027,679.3900480780533,True,REJECT,REJECT,,0.0,1.8639814546508255,binary cost rule: expected false-reject cost < false-accept cost,"{""STABLE"": 0.09597218197623877, ""DEGRADED"": 0.37867284844972476, ""TRANSIENT"": 0.23529411764705882, ""DISTRIBUTION_SHIFT"": 0.2900608519269777}"
case-040,DISTRIBUTION_SHIFT,knowledge,0.5762619831352749,0.3296651430683785,661.3528323600478,True,REJECT,REJECT,,0.0,1.3234708770067667,binary cost rule: expected false-reject cost < false-accept cost,"{""STABLE"": 0.0477643624784397, ""DEGRADED"": 0.5588430409977444, ""TRANSIENT"": 0.23086108531245855, ""DISTRIBUTION_SHIFT"": 0.16253151121135728}"
case-041,DISTRIBUTION_SHIFT,math,0.7947682688479416,0.47607559117363074,491.05231269675596,True,REJECT,REJECT,,0.0,2.0045928500496526,binary cost rule: expected false-reject cost < false-accept cost,"{""STABLE"": 0.10278053624627606, ""DEGRADED"": 0.33180238331678247, ""TRANSIENT"": 0.3959781529294935, ""DISTRIBUTION_SHIFT"": 0.16943892750744788}"
case-042,STABLE,safety,0.8850972147595654,0.21524351968162087,325.9452874449638,False,ACCEPT,ACCEPT,,0.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-043,TRANSIENT,code,0.43992032744277737,0.07916457865629059,1193.6373218040594,True,REJECT,REJECT,,0.0,1.7605136436597113,binary cost rule: expected false-reject cost < false-accept cost,"{""STABLE"": 0.0068485821294810055, ""DEGRADED"": 0.4131621187800963, ""TRANSIENT"": 0.5650080256821829, ""DISTRIBUTION_SHIFT"": 0.014981273408239699}"
case-044,TRANSIENT,instruction,0.5045312359070725,0.18855834095531254,967.1869512850798,True,REJECT,REJECT,,0.0,1.4092900964066608,binary cost rule: expected false-reject cost < false-accept cost,"{""STABLE"": 0.0006392153631417435, ""DEGRADED"": 0.530236634531113, ""TRANSIENT"": 0.4614335902679461, ""DISTRIBUTION_SHIFT"": 0.0076905598377991}"
case-045,STABLE,knowledge,1.0,0.08575491196374112,198.09334763914183,False,ACCEPT,ACCEPT,,0.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-046,STABLE,math,0.83336666455659,0.039879220841765796,189.52842008111023,False,ACCEPT,ACCEPT,,0.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-047,STABLE,safety,0.9705928522103577,0.18305576448148878,443.2371205261775,False,ACCEPT,ACCEPT,,0.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-048,STABLE,code,0.7448846104627842,0.0,239.34219908997073,False,ACCEPT,ACCEPT,,0.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-049,STABLE,instruction,0.7842070666597215,0.07456648461943495,254.85502667494964,False,ACCEPT,ACCEPT,,0.0,0.3416149068322981,binary cost rule: expected false-accept cost <= false-reject cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-050,STABLE,knowledge,0.6911922869907635,0.12261155724359224,658.6344085688108,False,REJECT,REJECT,,3.0,1.7640845070422535,binary cost rule: expected false-reject cost < false-accept cost,"{""STABLE"": 0.2535211267605634, ""DEGRADED"": 0.4119718309859155, ""TRANSIENT"": 0.2112676056338028, ""DISTRIBUTION_SHIFT"": 0.12323943661971828}"
