case_id,state,category,quality,latency_ms,drift_event,initial_action,action,cost,expected_cost,reason,belief
case-011,STABLE,math,0.8774279389910886,436.69838104901663,False,ACCEPT,ACCEPT,0.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-012,STABLE,safety,0.939235457017198,284.5339941904825,False,ACCEPT,ACCEPT,0.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-013,STABLE,code,0.9731070034460789,394.55929219193376,False,ACCEPT,ACCEPT,0.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-014,STABLE,instruction,0.8453490926143594,470.0356101995437,False,ACCEPT,ACCEPT,0.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-015,STABLE,knowledge,0.7904170741178339,337.5239286602208,False,INVESTIGATE,REJECT,5.0,0.8,probe=semantic_drift; estimated value-of-information=0.131,"{""STABLE"": 0.41623727535503324, ""DEGRADED"": 0.22810104310669851, ""TRANSIENT"": 0.17594570818147542, ""DISTRIBUTION_SHIFT"": 0.17971597335679276}"
case-016,STABLE,math,0.9206748960208165,492.6109354566079,False,ACCEPT,ACCEPT,0.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-017,DEGRADED,safety,0.8736921437538993,415.2782216539168,True,ACCEPT,ACCEPT,12.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-018,DEGRADED,code,0.843298659004944,323.7748134296899,True,ACCEPT,ACCEPT,12.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-019,DEGRADED,instruction,0.8986199029721098,319.6005450271604,True,ACCEPT,ACCEPT,12.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-020,DEGRADED,knowledge,0.851829904279039,399.88164581862253,True,ACCEPT,ACCEPT,12.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-021,DEGRADED,math,0.5409364825549345,581.347450663958,True,REJECT,REJECT,0.0,0.05936883125723231,active policy: direct rejection has lower expected cost,"{""STABLE"": 0.0004084133142740454, ""DEGRADED"": 0.7391642842556668, ""TRANSIENT"": 0.2374965965557144, ""DISTRIBUTION_SHIFT"": 0.022930705874344832}"
case-022,DEGRADED,safety,0.5359042033794967,666.9575343953102,True,REJECT,REJECT,0.0,0.052218081055992224,active policy: direct rejection has lower expected cost,"{""STABLE"": 3.706970185147715e-05, ""DEGRADED"": 0.8498113306632851, ""TRANSIENT"": 0.1293385066161695, ""DISTRIBUTION_SHIFT"": 0.020813093018693937}"
case-023,DEGRADED,code,0.6908505757092044,623.5293413095685,True,REJECT,REJECT,0.0,0.14582918574557038,active policy: direct rejection has lower expected cost,"{""STABLE"": 0.004778021102926539, ""DEGRADED"": 0.6289070276727056, ""TRANSIENT"": 0.3175393191319929, ""DISTRIBUTION_SHIFT"": 0.04877563209237507}"
case-024,DEGRADED,instruction,0.4962671861238873,817.2221788709253,True,REJECT,REJECT,0.0,0.23235706496338993,active policy: direct rejection has lower expected cost,"{""STABLE"": 0.004486680168250507, ""DEGRADED"": 0.7217946720673002, ""TRANSIENT"": 0.18974918211559433, ""DISTRIBUTION_SHIFT"": 0.08396946564885495}"
case-025,DEGRADED,knowledge,0.4500873131728774,662.7011615029077,True,REJECT,REJECT,0.0,0.05936883125723231,active policy: direct rejection has lower expected cost,"{""STABLE"": 0.0004084133142740454, ""DEGRADED"": 0.7391642842556668, ""TRANSIENT"": 0.2374965965557144, ""DISTRIBUTION_SHIFT"": 0.022930705874344832}"
case-026,DEGRADED,math,0.5460825410320322,900.2075425233454,True,REJECT,REJECT,0.0,0.021040092853994406,active policy: direct rejection has lower expected cost,"{""STABLE"": 9.761260910878164e-05, ""DEGRADED"": 0.582989782705181, ""TRANSIENT"": 0.40869179276233003, ""DISTRIBUTION_SHIFT"": 0.008220811923380198}"
case-027,DEGRADED,safety,0.50566168234025,178.0680522669719,True,REJECT,REJECT,0.0,0.11996234968688768,active policy: direct rejection has lower expected cost,"{""STABLE"": 0.00046102424219140195, ""DEGRADED"": 0.7686426677936148, ""TRANSIENT"": 0.18383341657382152, ""DISTRIBUTION_SHIFT"": 0.047062891390372265}"
case-028,STABLE,code,0.9506855606440329,363.34878264066134,False,ACCEPT,ACCEPT,0.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-029,STABLE,instruction,0.8935571641873304,372.2670015961029,False,ACCEPT,ACCEPT,0.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-030,STABLE,knowledge,0.6186319966271333,556.8331800036312,False,REJECT,REJECT,5.0,0.05936883125723231,active policy: direct rejection has lower expected cost,"{""STABLE"": 0.0004084133142740454, ""DEGRADED"": 0.7391642842556668, ""TRANSIENT"": 0.2374965965557144, ""DISTRIBUTION_SHIFT"": 0.022930705874344832}"
case-031,STABLE,math,0.9187294377327199,407.6126065406453,False,ACCEPT,ACCEPT,0.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-032,TRANSIENT,safety,0.693877658070085,1178.0452761961321,True,REJECT,REJECT,0.0,0.07169609416800428,active policy: direct rejection has lower expected cost,"{""STABLE"": 0.0068485821294810055, ""DEGRADED"": 0.4131621187800963, ""TRANSIENT"": 0.5650080256821829, ""DISTRIBUTION_SHIFT"": 0.014981273408239699}"
case-033,TRANSIENT,code,0.6005892573512578,1105.3760131163813,True,REJECT,REJECT,0.0,0.04658029972825355,active policy: direct rejection has lower expected cost,"{""STABLE"": 0.001076223531627519, ""DEGRADED"": 0.46747114375655824, ""TRANSIENT"": 0.5149729598837679, ""DISTRIBUTION_SHIFT"": 0.016479672828046382}"
case-034,TRANSIENT,instruction,0.7241729699854639,906.2692453198015,True,REJECT,REJECT,0.0,0.7725245316681535,active policy: direct rejection has lower expected cost,"{""STABLE"": 0.1313113291703836, ""DEGRADED"": 0.19429081177520074, ""TRANSIENT"": 0.6280107047279214, ""DISTRIBUTION_SHIFT"": 0.0463871543264942}"
case-035,TRANSIENT,knowledge,0.7013104040855801,1096.9995887896287,True,REJECT,REJECT,0.0,0.2670967909440232,active policy: direct rejection has lower expected cost,"{""STABLE"": 0.023886177173122858, ""DEGRADED"": 0.25446567660193165, ""TRANSIENT"": 0.6625817841935818, ""DISTRIBUTION_SHIFT"": 0.059066362031363576}"
case-036,TRANSIENT,math,0.5703062576728789,925.3690597708946,True,REJECT,REJECT,0.0,0.07169609416800428,active policy: direct rejection has lower expected cost,"{""STABLE"": 0.0068485821294810055, ""DEGRADED"": 0.4131621187800963, ""TRANSIENT"": 0.5650080256821829, ""DISTRIBUTION_SHIFT"": 0.014981273408239699}"
case-037,STABLE,safety,0.9690423594895367,406.5235311414815,False,ACCEPT,ACCEPT,0.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-038,DISTRIBUTION_SHIFT,code,0.7819676304387777,507.35852216497767,True,INVESTIGATE,REJECT,0.0,0.8,probe=error_high; estimated value-of-information=0.065,"{""STABLE"": 0.4724409448818898, ""DEGRADED"": 0.13557001027045532, ""TRANSIENT"": 0.1323747575031382, ""DISTRIBUTION_SHIFT"": 0.25961428734451675}"
case-039,DISTRIBUTION_SHIFT,instruction,0.8636816834229666,375.8360027313621,True,INVESTIGATE,REJECT,0.0,0.8,probe=semantic_drift; estimated value-of-information=0.051,"{""STABLE"": 0.42587115854442587, ""DEGRADED"": 0.19094766619519093, ""TRANSIENT"": 0.2828854314002829, ""DISTRIBUTION_SHIFT"": 0.10029574386010029}"
case-040,DISTRIBUTION_SHIFT,knowledge,0.7692148250088225,379.08253927886665,True,INVESTIGATE,REJECT,0.0,0.8,probe=error_high; estimated value-of-information=0.065,"{""STABLE"": 0.4724409448818898, ""DEGRADED"": 0.13557001027045532, ""TRANSIENT"": 0.1323747575031382, ""DISTRIBUTION_SHIFT"": 0.25961428734451675}"
case-041,DISTRIBUTION_SHIFT,math,0.8580149015084328,524.3848702029536,True,INVESTIGATE,REJECT,0.0,0.8,probe=error_high; estimated value-of-information=0.065,"{""STABLE"": 0.4724409448818898, ""DEGRADED"": 0.13557001027045532, ""TRANSIENT"": 0.1323747575031382, ""DISTRIBUTION_SHIFT"": 0.25961428734451675}"
case-042,DISTRIBUTION_SHIFT,safety,0.7692320561804963,471.42012582923934,True,REJECT,REJECT,0.0,0.9375,active policy: direct rejection has lower expected cost,"{""STABLE"": 0.10278053624627606, ""DEGRADED"": 0.33180238331678247, ""TRANSIENT"": 0.3959781529294935, ""DISTRIBUTION_SHIFT"": 0.16943892750744788}"
case-043,STABLE,code,0.9893184609582039,241.1083639970513,False,ACCEPT,ACCEPT,0.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-044,TRANSIENT,instruction,0.6689229139485557,877.5291387982625,True,REJECT,REJECT,0.0,0.2685215140731154,active policy: direct rejection has lower expected cost,"{""STABLE"": 0.031057910061468776, ""DEGRADED"": 0.5677774183112261, ""TRANSIENT"": 0.3558718861209964, ""DISTRIBUTION_SHIFT"": 0.04529278550630863}"
case-045,TRANSIENT,knowledge,0.5846228815580298,1055.0710333183997,True,REJECT,REJECT,0.0,0.07169609416800428,active policy: direct rejection has lower expected cost,"{""STABLE"": 0.0068485821294810055, ""DEGRADED"": 0.4131621187800963, ""TRANSIENT"": 0.5650080256821829, ""DISTRIBUTION_SHIFT"": 0.014981273408239699}"
case-046,STABLE,math,0.9149614569707113,392.287323275144,False,ACCEPT,ACCEPT,0.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-047,STABLE,safety,0.8455683622770114,561.037491368126,False,ACCEPT,ACCEPT,0.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-048,STABLE,code,0.8706094502586146,240.3867821964084,False,ACCEPT,ACCEPT,0.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-049,STABLE,instruction,0.891079964676762,293.6697959355419,False,ACCEPT,ACCEPT,0.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
case-050,STABLE,knowledge,0.7574586438001856,263.83475093432514,False,ACCEPT,ACCEPT,0.0,0.5838509316770186,active policy: direct acceptance has lower expected cost,"{""STABLE"": 0.8571428571428571, ""DEGRADED"": 0.03416149068322981, ""TRANSIENT"": 0.041407867494824016, ""DISTRIBUTION_SHIFT"": 0.06728778467908902}"
