case_id,state,category,quality,latency_ms,drift_event,initial_action,action,cost,expected_cost,reason,belief
case-040,DISTRIBUTION_SHIFT,knowledge,0.7692148250088225,379.08253927886665,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-041,DISTRIBUTION_SHIFT,math,0.8580149015084328,524.3848702029536,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-042,DISTRIBUTION_SHIFT,safety,0.7692320561804963,471.42012582923934,True,REJECT,ACCEPT,10.0,,static quality threshold,{}
case-043,STABLE,code,0.9893184609582039,241.1083639970513,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-044,TRANSIENT,instruction,0.6689229139485557,877.5291387982625,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-045,TRANSIENT,knowledge,0.5846228815580298,1055.0710333183997,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-046,STABLE,math,0.9149614569707113,392.287323275144,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-047,STABLE,safety,0.8455683622770114,561.037491368126,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-048,STABLE,code,0.8706094502586146,240.3867821964084,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-049,STABLE,instruction,0.891079964676762,293.6697959355419,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-050,STABLE,knowledge,0.7574586438001856,263.83475093432514,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
